# timestamp tx ty tz qx qy qz qw
1767857926.846433 0.0 0.0 0.0 0.0 0.0 0.0 1.0
1767857926.889194 0.009293697774410248 0.0023243988398462534 -0.0060134646482765675 -0.0010665252339094877 -0.0025497484020888805 0.0008192841778509319 0.9999958276748657
1767857926.9323282 0.005537032149732113 -0.0017069790046662092 -0.0031733924988657236 -0.0032328548841178417 -0.0002488936297595501 0.000789502402767539 0.9999944567680359
1767857926.9749265 0.002681773854419589 -0.004905993118882179 -0.0029602614231407642 -0.0026042473036795855 0.001990684075281024 -0.00022299709962680936 0.9999945759773254
1767857927.0180132 -0.0005226039793342352 -0.004012994933873415 -0.003587857587262988 -0.002009159419685602 0.004439972806721926 -0.0010681062703952193 0.9999875426292419
1767857927.060501 -0.013020433485507965 -0.006637575104832649 4.866695962846279e-05 -0.0005001273821108043 0.007769341580569744 0.001272885361686349 0.9999688863754272
1767857927.1029878 -0.020829325541853905 -0.006776360794901848 -0.0038146302103996277 0.004527618642896414 0.004960818216204643 0.006702092010527849 0.9999549984931946
1767857927.1463068 -0.015162032097578049 -0.007173555437475443 -0.007306492887437344 0.005497512873262167 0.003765692701563239 0.008087118156254292 0.9999451041221619
1767857927.1888173 -0.014142035506665707 -0.008500028401613235 -0.008632183074951172 0.005976884625852108 0.006247851066291332 0.008823568932712078 0.9999237060546875
1767857927.2317233 -0.017587851732969284 -0.0053155673667788506 -0.011471740901470184 0.0062820445746183395 0.009230961091816425 0.008855944499373436 0.9998984336853027
1767857927.2747371 -0.02567477524280548 -0.005577641073614359 -0.008836041204631329 0.004902478773146868 0.011832475662231445 0.009234599769115448 0.9998753666877747
1767857927.317138 -0.025997715070843697 -0.004337340127676725 -0.01113451924175024 0.003579044947400689 0.012940782122313976 0.010497326031327248 0.9998547434806824
1767857927.360196 -0.03085898980498314 -0.00589880533516407 -0.008572200313210487 0.0005819749785587192 0.015932753682136536 0.011949105188250542 0.999801516532898
1767857927.4031057 -0.036566056311130524 -0.008417917415499687 -0.007000988349318504 -0.0005691670230589807 0.018904320895671844 0.011934744194149971 0.9997498989105225
1767857927.4456775 -0.04136422649025917 -0.007884188555181026 -0.006814227905124426 -0.0017096680821850896 0.02161833457648754 0.01243424043059349 0.9996874928474426
1767857927.488412 -0.04553918540477753 -0.009663326665759087 -0.006319369655102491 -0.0034204244147986174 0.02480948343873024 0.012736787088215351 0.9996051788330078
1767857927.531933 -0.056792132556438446 -0.009654777124524117 -0.002135817427188158 -0.004196990747004747 0.02968217246234417 0.012691445648670197 0.9994699954986572
1767857927.5743914 -0.06871772557497025 -0.010463858023285866 -4.6472297981381416e-05 -0.003746068337932229 0.033143866807222366 0.013887838460505009 0.9993470907211304
1767857927.6176326 -0.07637691497802734 -0.009931418113410473 9.951353422366083e-05 -0.0034974373411387205 0.03510569781064987 0.015421152114868164 0.9992585182189941
1767857927.660322 -0.09083551913499832 -0.01349620334804058 0.004011076409369707 -0.0029302327893674374 0.03791644424200058 0.01572021096944809 0.9991529583930969
1767857927.7033327 -0.10347021371126175 -0.014966718852519989 0.005275908391922712 -0.0005062384298071265 0.03939984366297722 0.016850795596837997 0.9990813136100769
1767857927.74614 -0.1125277653336525 -0.009987058117985725 0.001329558901488781 0.002109459601342678 0.038686979562044144 0.018440308049321175 0.9990789890289307
1767857927.7892778 -0.120603047311306 -0.006409758701920509 -0.0015318708028644323 0.0016244609141722322 0.03648687154054642 0.020502572879195213 0.9991225004196167
